,CONEXION,SECTOR,CDESTIPSER,MES,AÑO,CATEGORIA,fecha_inicio,hora_inicio,fecha_fin,hora_fin,latitud,longitud,fecha_hora_inicio,fecha_hora_fin,tiempo_resta
0,912570,S74,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-23,1960-01-01 06:05:00,2025-12-25,1960-01-01 21:19:06.568,-6.478684144947033,-76.35728494653115,2025-12-23 06:05:00-01:00,2025-12-25 21:19:06.568000-01:00,2
1,117989,S74,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-09,1960-01-01 15:46:00,2025-07-10,1960-01-01 21:17:56.096,-6.509906285962004,-76.35666575866915,2025-07-09 15:46:00-01:00,2025-07-10 21:17:56.096000-01:00,1
2,218970,S74,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-11,1960-01-01 17:07:00,2025-07-13,1960-01-01 14:05:27.964,-6.510675279754104,-76.37013309466793,2025-07-11 17:07:00-01:00,2025-07-13 14:05:27.964000-01:00,1
3,924804,S74,AG: Conexiones Domiciliarias                      ,7,2025,Rotura Tuberia Matriz,2025-07-29,1960-01-01 08:10:00,2025-07-31,1960-01-01 20:10:41.624,-6.500370665136283,-76.36610837356486,2025-07-29 08:10:00-01:00,2025-07-31 20:10:41.624000-01:00,2
4,937439,S74,AG: Conexiones Domiciliarias                      ,9,2025,Rotura Tuberia Matriz,2025-09-21,1960-01-01 12:45:00,2025-09-24,1960-01-01 10:13:52.188,-6.4945261629759425,-76.38267164887372,2025-09-21 12:45:00-01:00,2025-09-24 10:13:52.188000-01:00,2
5,937439,S74,AG: Conexiones Domiciliarias                      ,12,2025,Rotura Tuberia Matriz,2025-12-20,1960-01-01 20:01:00,2025-12-22,1960-01-01 21:15:11.536,-6.4945261629759425,-76.38267164887372,2025-12-20 20:01:00-01:00,2025-12-22 21:15:11.536000-01:00,2
7,930650,S74,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-28,1960-01-01 18:40:00,2025-01-30,1960-01-01 09:47:36.456,-6.475607967232413,-76.36022608887572,2025-01-28 18:40:00-01:00,2025-01-30 09:47:36.456000-01:00,1
8,930650,S74,AG: Conexiones Domiciliarias                      ,1,2025,Rotura Tuberia Matriz,2025-01-29,1960-01-01 05:06:00,2025-01-30,1960-01-01 11:14:04.704,-6.475607967232413,-76.36022608887572,2025-01-29 05:06:00-01:00,2025-01-30 11:14:04.704000-01:00,1
9,217828,S74,AG: Conexiones Domiciliarias                      ,5,2025,Rotura Tuberia Matriz,2025-05-27,1960-01-01 21:00:00,2025-05-30,1960-01-01 00:55:02.806,-6.506676499175825,-76.36997829770243,2025-05-27 21:00:00-01:00,2025-05-30 00:55:02.806000-01:00,2
12,1660069,S74,AG: Conexiones Domiciliarias                      ,8,2025,Rotura Tuberia Matriz,2025-08-06,1960-01-01 01:55:00,2025-08-07,1960-01-01 09:17:58.488,-6.496987014266341,-76.35217664666955,2025-08-06 01:55:00-01:00,2025-08-07 09:17:58.488000-01:00,1
