id,empresa,fecha,duracion_horas,impacto,motivo,estacion_id,latitud,longitud
1,EMAPA SAN MARTIN,2024-01-10,12.5,1500,Rotura,EST_TAR_01,-6.485,-76.365
2,EMAPA SAN MARTIN,2024-01-15,4.0,500,Mantenimiento,EST_TAR_02,-6.490,-76.370
3,EPS MOYOBAMBA,2024-01-18,18.0,2200,Rotura,EST_MOY_01,-6.035,-76.975
4,EMAPA SAN MARTIN,2024-02-05,24.5,3500,Emergencia,EST_TAR_03,-6.475,-76.380
5,EPS MOYOBAMBA,2024-02-12,2.5,300,Programado,EST_MOY_02,-6.040,-76.980
6,EMAPA SAN MARTIN,2024-02-20,8.0,850,Rotura,EST_TAR_04,-6.500,-76.360
7,EPS MOYOBAMBA,2024-03-01,15.5,1800,Rotura,EST_MOY_03,-6.030,-76.970
8,EMAPA SAN MARTIN,2024-03-10,6.5,700,Mantenimiento,EST_TAR_01,-6.485,-76.365
9,EMAPA SAN MARTIN,2024-03-15,10.0,1200,Rotura,EST_TAR_02,-6.490,-76.370
10,EPS RIOJA,2024-03-22,22.0,2800,Emergencia,EST_RIO_01,-6.060,-77.165
11,EPS MOYOBAMBA,2024-04-05,5.0,600,Programado,EST_MOY_01,-6.035,-76.975
12,EMAPA SAN MARTIN,2024-04-12,14.5,1650,Rotura,EST_TAR_03,-6.475,-76.380
13,EPS RIOJA,2024-04-18,3.5,400,Mantenimiento,EST_RIO_02,-6.065,-77.170
14,EPS MOYOBAMBA,2024-04-25,9.0,950,Rotura,EST_MOY_02,-6.040,-76.980
15,EMAPA SAN MARTIN,2024-05-02,11.5,1300,Rotura,EST_TAR_04,-6.500,-76.360
